Entity,Code,Year,Wind generation - TWh
Asia Pacific (EI),,1992,0.22047403
Asia Pacific (EI),,1993,0.31183666
Asia Pacific (EI),,1994,0.58358806
Asia Pacific (EI),,1995,1.1216013
Asia Pacific (EI),,1996,0.99120504
Asia Pacific (EI),,1997,1.21395
Asia Pacific (EI),,1998,1.4895501
Asia Pacific (EI),,1999,2.0532491
Asia Pacific (EI),,2000,2.563947
Asia Pacific (EI),,2001,3.5174093
Asia Pacific (EI),,2002,4.0670133
Asia Pacific (EI),,2003,5.3408756
Asia Pacific (EI),,2004,9.186693
Asia Pacific (EI),,2005,12.019194
Asia Pacific (EI),,2006,18.569807
Asia Pacific (EI),,2007,24.603132
Asia Pacific (EI),,2008,36.079895
Asia Pacific (EI),,2009,54.847977
Asia Pacific (EI),,2010,81.48422
Asia Pacific (EI),,2011,113.551094
Asia Pacific (EI),,2012,147.72359
Asia Pacific (EI),,2013,188.47218
Asia Pacific (EI),,2014,214.27243
Asia Pacific (EI),,2015,243.05768
Asia Pacific (EI),,2016,311.22577
Asia Pacific (EI),,2017,387.15158
Asia Pacific (EI),,2018,462.0912
Asia Pacific (EI),,2019,511.6146
Asia Pacific (EI),,2020,574.49384
Asia Pacific (EI),,2021,779.23627
Asia Pacific (EI),,2022,900.9207
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0.002
Australia,AUS,1994,0.0055
Australia,AUS,1995,0.007
Australia,AUS,1996,0.007
Australia,AUS,1997,0.0075
Australia,AUS,1998,0.018
Australia,AUS,1999,0.043
Australia,AUS,2000,0.134
Australia,AUS,2001,0.287
Australia,AUS,2002,0.53355
Australia,AUS,2003,0.70405
Australia,AUS,2004,0.795
Australia,AUS,2005,1.29905
Australia,AUS,2006,2.1621
Australia,AUS,2007,2.8521
Australia,AUS,2008,3.45845
Australia,AUS,2009,4.43775
Australia,AUS,2010,4.985
Australia,AUS,2011,6.432
Australia,AUS,2012,7.725
Australia,AUS,2013,9.259
Australia,AUS,2014,9.777
Australia,AUS,2015,11.833002
Australia,AUS,2016,13.039705
Australia,AUS,2017,13.210791
Australia,AUS,2018,16.261955
Australia,AUS,2019,19.471687
Australia,AUS,2020,22.606892
Australia,AUS,2021,26.795876
Australia,AUS,2022,31.652384
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0
Austria,AUT,1994,0
Austria,AUT,1995,0.001
Austria,AUT,1996,0.005
Austria,AUT,1997,0.02
Austria,AUT,1998,0.045
Austria,AUT,1999,0.051
Austria,AUT,2000,0.067
Austria,AUT,2001,0.172
Austria,AUT,2002,0.203
Austria,AUT,2003,0.366
Austria,AUT,2004,0.924
Austria,AUT,2005,1.3312768
Austria,AUT,2006,1.752793
Austria,AUT,2007,2.037185
Austria,AUT,2008,2.0112574
Austria,AUT,2009,1.9540402
Austria,AUT,2010,2.0639138
Austria,AUT,2011,1.9362364
Austria,AUT,2012,2.462029
Austria,AUT,2013,3.1532316
Austria,AUT,2014,3.845768
Austria,AUT,2015,4.840343
Austria,AUT,2016,5.2348385
Austria,AUT,2017,6.5715113
Austria,AUT,2018,6.0304294
Austria,AUT,2019,7.4500766
Austria,AUT,2020,6.7915306
Austria,AUT,2021,6.7400417
Austria,AUT,2022,7.245277
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0.0021
Azerbaijan,AZE,2010,0.0005
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.0008
Azerbaijan,AZE,2014,0.0023
Azerbaijan,AZE,2015,0.0046
Azerbaijan,AZE,2016,0.0228
Azerbaijan,AZE,2017,0.0221
Azerbaijan,AZE,2018,0.0827
Azerbaijan,AZE,2019,0.1054
Azerbaijan,AZE,2020,0.0961
Azerbaijan,AZE,2021,0.0914
Azerbaijan,AZE,2022,0.0833
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0
Bangladesh,BGD,2003,0
Bangladesh,BGD,2004,0
Bangladesh,BGD,2005,0
Bangladesh,BGD,2006,0.0016
Bangladesh,BGD,2007,0.0016
Bangladesh,BGD,2008,0.0029
Bangladesh,BGD,2009,0.0051
Bangladesh,BGD,2010,0.0051
Bangladesh,BGD,2011,0.0051
Bangladesh,BGD,2012,0.0051
Bangladesh,BGD,2013,0.005081
Bangladesh,BGD,2014,0.005081
Bangladesh,BGD,2015,0.005081
Bangladesh,BGD,2016,0.005081
Bangladesh,BGD,2017,0.005081
Bangladesh,BGD,2018,0.005081
Bangladesh,BGD,2019,0.005081
Bangladesh,BGD,2020,0.005094921
Bangladesh,BGD,2021,0.005081
Bangladesh,BGD,2022,0.005081
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0.001010101
Belarus,BLR,2005,0.001
Belarus,BLR,2006,0.001
Belarus,BLR,2007,0.001
Belarus,BLR,2008,0.001
Belarus,BLR,2009,0.001
Belarus,BLR,2010,0.001
Belarus,BLR,2011,0.004
Belarus,BLR,2012,0.006
Belarus,BLR,2013,0.008
Belarus,BLR,2014,0.009
Belarus,BLR,2015,0.039
Belarus,BLR,2016,0.073
Belarus,BLR,2017,0.097
Belarus,BLR,2018,0.099
Belarus,BLR,2019,0.166
Belarus,BLR,2020,0.185
Belarus,BLR,2021,0.18400036
Belarus,BLR,2022,0.18400036
Belgium,BEL,1986,0
Belgium,BEL,1987,0.006
Belgium,BEL,1988,0.008
Belgium,BEL,1989,0.007
Belgium,BEL,1990,0.007
Belgium,BEL,1991,0.008
Belgium,BEL,1992,0.009
Belgium,BEL,1993,0.008
Belgium,BEL,1994,0.009
Belgium,BEL,1995,0.009
Belgium,BEL,1996,0.008
Belgium,BEL,1997,0.008
Belgium,BEL,1998,0.011
Belgium,BEL,1999,0.013
Belgium,BEL,2000,0.016
Belgium,BEL,2001,0.037
Belgium,BEL,2002,0.057
Belgium,BEL,2003,0.088
Belgium,BEL,2004,0.142
Belgium,BEL,2005,0.227
Belgium,BEL,2006,0.366
Belgium,BEL,2007,0.491
Belgium,BEL,2008,0.637
Belgium,BEL,2009,0.996
Belgium,BEL,2010,1.292
Belgium,BEL,2011,2.312
Belgium,BEL,2012,2.7593
Belgium,BEL,2013,3.665
Belgium,BEL,2014,4.6153
Belgium,BEL,2015,5.574
Belgium,BEL,2016,5.4195
Belgium,BEL,2017,6.5207
Belgium,BEL,2018,7.5741
Belgium,BEL,2019,9.7554
Belgium,BEL,2020,12.8186
Belgium,BEL,2021,11.9976
Belgium,BEL,2022,11.907122
Brazil,BRA,1985,0
Brazil,BRA,1986,0
Brazil,BRA,1987,0
Brazil,BRA,1988,0
Brazil,BRA,1989,0
Brazil,BRA,1990,0
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,0
Brazil,BRA,1994,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0.002
Brazil,BRA,1997,0.004
Brazil,BRA,1998,0.005
Brazil,BRA,1999,0.002
Brazil,BRA,2000,0.001
Brazil,BRA,2001,0.0349
Brazil,BRA,2002,0.061
Brazil,BRA,2003,0.061
Brazil,BRA,2004,0.061
Brazil,BRA,2005,0.0929
Brazil,BRA,2006,0.237
Brazil,BRA,2007,0.66278183
Brazil,BRA,2008,1.183
Brazil,BRA,2009,1.238
Brazil,BRA,2010,2.176558
Brazil,BRA,2011,2.704769
Brazil,BRA,2012,5.05
Brazil,BRA,2013,6.575863
Brazil,BRA,2014,12.210252
Brazil,BRA,2015,21.625702
Brazil,BRA,2016,33.488873
Brazil,BRA,2017,42.373257
Brazil,BRA,2018,48.47514
Brazil,BRA,2019,55.985622
Brazil,BRA,2020,57.050705
Brazil,BRA,2021,72.28597
Brazil,BRA,2022,81.63157
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0.001
Bulgaria,BGR,2005,0.005
Bulgaria,BGR,2006,0.02
Bulgaria,BGR,2007,0.047
Bulgaria,BGR,2008,0.122
Bulgaria,BGR,2009,0.237
Bulgaria,BGR,2010,0.681
Bulgaria,BGR,2011,0.861
Bulgaria,BGR,2012,1.221
Bulgaria,BGR,2013,1.373512
Bulgaria,BGR,2014,1.330577
Bulgaria,BGR,2015,1.451511
Bulgaria,BGR,2016,1.42497
Bulgaria,BGR,2017,1.504064
Bulgaria,BGR,2018,1.318123
Bulgaria,BGR,2019,1.316988
Bulgaria,BGR,2020,1.477131
Bulgaria,BGR,2021,1.433561
Bulgaria,BGR,2022,1.4983786
CIS (EI),,1965,0
CIS (EI),,1990,0
CIS (EI),,1991,0
CIS (EI),,1992,0
CIS (EI),,1993,0
CIS (EI),,1994,0
CIS (EI),,1995,0
CIS (EI),,1996,0
CIS (EI),,1997,0
CIS (EI),,1998,0
CIS (EI),,1999,0
CIS (EI),,2000,0.0019
CIS (EI),,2001,0.0031
CIS (EI),,2002,0.0062
CIS (EI),,2003,0.0086
CIS (EI),,2004,0.008010101
CIS (EI),,2005,0.0078
CIS (EI),,2006,0.0088
CIS (EI),,2007,0.0105
CIS (EI),,2008,0.0081
CIS (EI),,2009,0.0112
CIS (EI),,2010,0.009786
CIS (EI),,2011,0.012539
CIS (EI),,2012,0.018116
CIS (EI),,2013,0.0211217
CIS (EI),,2014,0.1256712
CIS (EI),,2015,0.3290593
CIS (EI),,2016,0.5239033
CIS (EI),,2017,0.6069637
CIS (EI),,2018,0.8290751
CIS (EI),,2019,1.3551434
CIS (EI),,2020,2.5006814
CIS (EI),,2021,4.687105
CIS (EI),,2022,7.109156
Canada,CAN,1985,0.001
Canada,CAN,1986,0.001
Canada,CAN,1987,0.001
Canada,CAN,1988,0.001
Canada,CAN,1989,0.001
Canada,CAN,1990,0.001919192
Canada,CAN,1991,0.001919192
Canada,CAN,1992,0.059
Canada,CAN,1993,0.059
Canada,CAN,1994,0.059
Canada,CAN,1995,0.059
Canada,CAN,1996,0.062
Canada,CAN,1997,0.062
Canada,CAN,1998,0.062
Canada,CAN,1999,0.162
Canada,CAN,2000,0.264
Canada,CAN,2001,0.329
Canada,CAN,2002,0.405
Canada,CAN,2003,0.69
Canada,CAN,2004,0.945
Canada,CAN,2005,1.5674546
Canada,CAN,2006,2.4730656
Canada,CAN,2007,3.0072787
Canada,CAN,2008,3.7885141
Canada,CAN,2009,6.6416516
Canada,CAN,2010,8.724192
Canada,CAN,2011,10.188574
Canada,CAN,2012,11.311488
Canada,CAN,2013,11.145443
Canada,CAN,2014,12.81707
Canada,CAN,2015,26.96639
Canada,CAN,2016,30.933117
Canada,CAN,2017,31.513615
Canada,CAN,2018,33.47136
Canada,CAN,2019,32.875572
Canada,CAN,2020,35.76448
Canada,CAN,2021,34.756733
Canada,CAN,2022,37.52577
Central America (EI),,1971,0
Central America (EI),,1972,0
Central America (EI),,1973,0
Central America (EI),,1974,0
Central America (EI),,1975,0
Central America (EI),,1976,0
Central America (EI),,1977,0
Central America (EI),,1978,0
Central America (EI),,1979,0
Central America (EI),,1980,0
Central America (EI),,1981,0
Central America (EI),,1982,0
Central America (EI),,1983,0
Central America (EI),,1984,0
Central America (EI),,1985,0
Central America (EI),,1986,0
Central America (EI),,1987,0
Central America (EI),,1988,0
Central America (EI),,1989,0
Central America (EI),,1990,0
Central America (EI),,1991,0
Central America (EI),,1992,0
Central America (EI),,1993,0
Central America (EI),,1994,0
Central America (EI),,1995,0
Central America (EI),,1996,0.022590363
Central America (EI),,1997,0.07571247
Central America (EI),,1998,0.06420843
Central America (EI),,1999,0.09965608
Central America (EI),,2000,0.17497908
Central America (EI),,2001,0.1794242
Central America (EI),,2002,0.25431436
Central America (EI),,2003,0.23022385
Central America (EI),,2004,0.25543404
Central America (EI),,2005,0.20231311
Central America (EI),,2006,0.27216262
Central America (EI),,2007,0.2403967
Central America (EI),,2008,0.1980772
Central America (EI),,2009,0.42138657
Central America (EI),,2010,0.5218728
Central America (EI),,2011,0.74175715
Central America (EI),,2012,1.1292565
Central America (EI),,2013,1.348979
Central America (EI),,2014,2.0939536
Central America (EI),,2015,3.1353307
Central America (EI),,2016,3.2994716
Central America (EI),,2017,3.2095747
Central America (EI),,2018,4.4355497
Central America (EI),,2019,4.400176
Central America (EI),,2020,3.6275835
Central America (EI),,2021,3.988979
Central America (EI),,2022,3.6489873
Chile,CHL,1990,0
Chile,CHL,1991,0
Chile,CHL,1992,0
Chile,CHL,1993,0
Chile,CHL,1994,0
Chile,CHL,1995,0
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0.007
Chile,CHL,2002,0.007
Chile,CHL,2003,0.007
Chile,CHL,2004,0.005
Chile,CHL,2005,0.007
Chile,CHL,2006,0.007
Chile,CHL,2007,0.0112
Chile,CHL,2008,0.03812314
Chile,CHL,2009,0.07901422
Chile,CHL,2010,0.325326
Chile,CHL,2011,0.33759564
Chile,CHL,2012,0.40838745
Chile,CHL,2013,0.5450756
Chile,CHL,2014,1.4431201
Chile,CHL,2015,2.114648
Chile,CHL,2016,2.4518394
Chile,CHL,2017,3.6255593
Chile,CHL,2018,3.5878947
Chile,CHL,2019,4.895221
Chile,CHL,2020,5.6023026
Chile,CHL,2021,7.628098
Chile,CHL,2022,9.36562
China,CHN,1971,0
China,CHN,1972,0
China,CHN,1973,0
China,CHN,1974,0
China,CHN,1975,0
China,CHN,1976,0
China,CHN,1977,0
China,CHN,1978,0
China,CHN,1979,0
China,CHN,1980,0
China,CHN,1981,0
China,CHN,1982,0
China,CHN,1983,0
China,CHN,1984,0
China,CHN,1985,0
China,CHN,1986,0
China,CHN,1987,0
China,CHN,1988,0
China,CHN,1989,0
China,CHN,1990,0.002020202
China,CHN,1991,0.009090909
China,CHN,1992,0.13131313
China,CHN,1993,0.21212122
China,CHN,1994,0.3838384
China,CHN,1995,0.61616164
China,CHN,1996,0.093939394
China,CHN,1997,0.1979798
China,CHN,1998,0.35555556
China,CHN,1999,0.4737374
China,CHN,2000,0.589899
China,CHN,2001,0.7191919
China,CHN,2002,0.83737373
China,CHN,2003,0.9969697
China,CHN,2004,1.2777778
China,CHN,2005,1.9460607
China,CHN,2006,3.7118182
China,CHN,2007,5.479293
China,CHN,2008,13.1
China,CHN,2009,27.614998
China,CHN,2010,49.39962
China,CHN,2011,74.1
China,CHN,2012,103.049904
China,CHN,2013,138.26413
China,CHN,2014,159.7627
China,CHN,2015,185.59145
China,CHN,2016,240.8605
China,CHN,2017,304.6
China,CHN,2018,365.8
China,CHN,2019,405.3
China,CHN,2020,466.5
China,CHN,2021,655.8
China,CHN,2022,762.6954
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0
Colombia,COL,2001,0
Colombia,COL,2002,0
Colombia,COL,2003,0
Colombia,COL,2004,0.05199
Colombia,COL,2005,0.04948
Colombia,COL,2006,0.06298139
Colombia,COL,2007,0.049890976
Colombia,COL,2008,0.053918168
Colombia,COL,2009,0.057707813
Colombia,COL,2010,0.03856992
Colombia,COL,2011,0.041271944
Colombia,COL,2012,0.05485471
Colombia,COL,2013,0.057624802
Colombia,COL,2014,0.0702303
Colombia,COL,2015,0.06837745
Colombia,COL,2016,0.050887343
Colombia,COL,2017,0.003071419
Colombia,COL,2018,0.04344
Colombia,COL,2019,0.06332
Colombia,COL,2020,0.01012
Colombia,COL,2021,0.06047
Colombia,COL,2022,0.07488
Croatia,HRV,1990,0
Croatia,HRV,1991,0
Croatia,HRV,1992,0
Croatia,HRV,1993,0
Croatia,HRV,1994,0
Croatia,HRV,1995,0
Croatia,HRV,1996,0
Croatia,HRV,1997,0
Croatia,HRV,1998,0
Croatia,HRV,1999,0
Croatia,HRV,2000,0
Croatia,HRV,2001,0
Croatia,HRV,2002,0
Croatia,HRV,2003,0
Croatia,HRV,2004,0.002
Croatia,HRV,2005,0.01
Croatia,HRV,2006,0.019
Croatia,HRV,2007,0.0349
Croatia,HRV,2008,0.0399
Croatia,HRV,2009,0.0542
Croatia,HRV,2010,0.1391
Croatia,HRV,2011,0.201
Croatia,HRV,2012,0.328746
Croatia,HRV,2013,0.517287
Croatia,HRV,2014,0.72997
Croatia,HRV,2015,0.796295
Croatia,HRV,2016,1.014248
Croatia,HRV,2017,1.204
Croatia,HRV,2018,1.3354
Croatia,HRV,2019,1.4673
Croatia,HRV,2020,1.7207
Croatia,HRV,2021,2.0618
Croatia,HRV,2022,2.2990096
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,0.000355
Cyprus,CYP,2005,0.000355
Cyprus,CYP,2006,0.000355
Cyprus,CYP,2007,0.000356
Cyprus,CYP,2008,0.000356
Cyprus,CYP,2009,0.000356
Cyprus,CYP,2010,0.031
Cyprus,CYP,2011,0.114
Cyprus,CYP,2012,0.185
Cyprus,CYP,2013,0.231
Cyprus,CYP,2014,0.1839
Cyprus,CYP,2015,0.221857
Cyprus,CYP,2016,0.226701
Cyprus,CYP,2017,0.21145
Cyprus,CYP,2018,0.22061
Cyprus,CYP,2019,0.238565
Cyprus,CYP,2020,0.240408
Cyprus,CYP,2021,0.246478
Cyprus,CYP,2022,0.224266
Czechia,CZE,1990,0
Czechia,CZE,1991,0
Czechia,CZE,1992,0
Czechia,CZE,1993,0
Czechia,CZE,1994,0
Czechia,CZE,1995,0
Czechia,CZE,1996,0
Czechia,CZE,1997,0
Czechia,CZE,1998,0
Czechia,CZE,1999,0
Czechia,CZE,2000,0
Czechia,CZE,2001,0.0002
Czechia,CZE,2002,0.0016
